time energy a1x a1y a1z a2x a2y a2z a3x a3y a3z
91.31 0.010314456659716939 -0.14912697178577472 -0.27952583079530124 -3.275078214168498e-05 0.23139550424041955 0.8020164508665852 0.00018985961227372663 1.0111427458555917 0.47184111245403576 0.0004010582584313576
91.32000000000001 0.01030056558028717 -0.14903459572810474 -0.2793676876089659 -3.2682117936378135e-05 0.2309160138129266 0.8020723173403398 0.00018974731274239457 1.0115284112170493 0.47162586993709366 0.0004012267175273077
91.33 0.010286380098053645 -0.14893852489554354 -0.2792060875200069 -3.261198998083916e-05 0.23043488395345438 0.8021272927770055 0.00018963441763771493 1.0119120210466543 0.47140806141157277 0.00040139428281944214
91.34 0.010271901078143813 -0.1488387598571534 -0.27904103397722296 -3.254039864227431e-05 0.22995212503349166 0.8021813758561285 0.00018952092994781828 1.0122935655419671 0.47118769164662366 0.00040156095157838165
91.35000000000001 0.010257129414688187 -0.14873530126696213 -0.2788725305300587 -3.246734432362517e-05 0.22946774745034362 0.8022345653129606 0.0001894068526755283 1.012673034959698 0.4709647654563375 0.000401726721096726
91.36 0.010242066030738784 -0.1486281498638945 -0.278700580828474 -3.23928274635339e-05 0.22898176162676173 0.8022868599384222 0.00018929218883834446 1.0130504196160082 0.470739287699652 0.00040189158868924463
91.37 0.010226711878184093 -0.14851730647170006 -0.2785251886228094 -3.231684853616983e-05 0.22849417801057273 0.8023382585790638 0.00018917694146818173 1.01342570988681 0.47051126328025633 0.00040205555169299826
91.38 0.010211067937660778 -0.14840277199887839 -0.278346357763649 -3.223940805133349e-05 0.22800500707430618 0.8023887601370252 0.00018906111361133597 1.0137988962080635 0.4702806971464937 0.0004022186074674255
91.39 0.01019513521846195 -0.14828454743860164 -0.2781640922016796 -3.2160506554421934e-05 0.2275142593148212 0.802438363569993 0.00018894470832827573 1.0141699690760726 0.4700475942912633 0.0004023807533942909
91.4 0.010178914758442044 -0.14816263386863357 -0.2779783959875459 -3.208014462642876e-05 0.22702194525293196 0.8024870678911562 0.00018882772869360754 1.0145389190477787 0.4698119597519206 0.0004025419868780491
91.41 0.010162407623918525 -0.1480370324512463 -0.2777892732717036 -3.1998322883839986e-05 0.22652807543303244 0.8025348721691599 0.00018871017779593718 1.0149057367410526 0.4695737986101759 0.00040270230534558476
91.42 0.01014561490956994 -0.14790774443313337 -0.2775967283042678 -3.1915041978495314e-05 0.22603266042271977 0.8025817755280567 0.00018859205873776553 1.0152704128349843 0.46933311599199184 0.0004028617062466983
91.43 0.010128537738331077 -0.147774771145321 -0.2774007654348591 -3.183030259777892e-05 0.2255357108124168 0.8026277771472569 0.00018847337463534985 1.0156329380701714 0.4690899170674789 0.0004030201870538282
91.44 0.010111177261284455 -0.14763811400307536 -0.2772013891124457 -3.174410546448068e-05 0.22503723721499352 0.802672876261476 0.00018835412861847823 1.015993303249005 0.4688442070507903 0.000403177745262346
91.45 0.010093534657548715 -0.14749777450580756 -0.2769986038851822 -3.1656451336726805e-05 0.22453725026538782 0.802717072160681 0.00018823432383052166 1.0163514992359541 0.46859599120001455 0.00040333437839060833
91.46000000000001 0.01007561113416372 -0.1473537542369756 -0.2767924144002456 -3.1567341007997154e-05 0.22403576062022482 0.8027603641900342 0.00018811396342817378 1.0167075169578486 0.46834527481706745 0.000403490083980061
91.47 0.010057407925972355 -0.14720605486398322 -0.27658282540366713 -3.1476775307142605e-05 0.22353277895743562 0.8028027517498352 0.0001879930505813642 1.0170613474041585 0.4680920632475818 0.0004036448595952911
91.48 0.01003892629549909 -0.14705467813807618 -0.27636984174016144 -3.13847550980728e-05 0.22302831597587497 0.8028442342954617 0.0001878715884732064 1.0174129816272737 0.4678363618807963 0.0004037987028241135
